ANO,MES,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAF,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,OUTROS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,TRATOR_ESTEI,TRATOR_RODAS,TRICICLO,UTILITARIO
2010,6,ARARENDA,1588,165,0,19,0,136,9,0,1,4,1161,92,1,0,0,0,0,0,0,0,0,0
2010,6,ARARIPE,2260,350,0,52,0,183,25,0,0,58,1503,56,21,0,0,11,0,0,0,0,1,0
2010,6,ARATUBA,1262,121,0,51,0,38,3,0,0,2,1034,3,7,0,0,1,0,0,0,0,1,1
2010,6,ARNEIROZ,930,67,0,22,0,57,5,0,0,5,724,50,0,0,0,0,0,0,0,0,0,0
2010,6,ASSARE,2932,385,0,82,0,232,37,0,0,14,1994,178,1,0,0,6,2,0,0,0,0,1
2010,6,AURORA,1973,375,0,59,18,145,17,0,0,35,1224,72,6,0,0,8,14,0,0,0,0,0
2010,6,BAIXIO,1016,412,0,16,0,92,26,0,0,18,413,30,5,0,0,2,0,0,0,0,0,2
2010,6,BANABUIU,1873,370,0,93,0,124,17,1,0,10,1152,84,14,0,0,6,0,0,0,0,1,1
2010,6,BARBALHA,8029,2355,0,287,70,616,127,0,9,69,4010,221,60,0,0,66,120,0,0,0,1,18
2010,6,BARREIRA,2795,884,0,79,1,156,31,0,2,7,1541,64,8,0,0,19,1,0,0,0,0,2
2010,6,BARRO,1932,534,0,40,1,150,40,0,0,22,1035,66,10,0,0,33,1,0,0,0,0,0
2010,6,BARROQUINHA,916,102,0,28,0,132,19,0,1,8,514,106,3,0,0,2,0,0,0,0,0,1
2010,6,BATURITE,4799,1217,0,177,1,216,50,0,1,19,2922,120,29,0,0,37,0,1,0,0,4,5
2010,6,BEBERIBE,5140,2443,0,148,4,389,99,0,3,55,1768,95,49,0,0,56,11,0,0,0,1,19
2010,6,BELA CRUZ,3323,584,0,85,0,246,29,0,0,5,2016,318,18,0,0,6,1,0,0,0,0,15
2010,6,BOA VIAGEM,9750,1275,0,336,13,396,58,0,0,12,7250,336,34,0,0,17,10,0,0,0,0,13
2010,6,BREJO SANTO,8305,2217,0,275,8,1087,104,0,3,63,3815,598,33,0,0,65,9,1,0,0,4,23
2010,6,CAMOCIM,7110,1745,0,142,3,569,97,0,5,29,3553,902,17,0,0,29,6,0,0,0,1,12
2010,6,CAMPOS SALES,5495,1070,0,162,1,529,54,0,0,54,3278,289,31,1,0,19,3,0,0,0,0,4
2010,6,CANINDE,11681,2481,0,447,3,531,99,0,3,16,7185,744,47,0,0,87,6,2,0,0,4,26
2010,6,CAPISTRANO,1691,385,0,50,0,98,21,0,0,5,1091,28,9,0,0,3,0,0,0,0,1,0
2010,6,CARIDADE,1660,385,0,63,1,72,27,0,0,7,1049,34,11,0,0,5,0,0,0,0,1,5
2010,6,CARIRE,2324,314,0,43,0,91,17,0,1,15,1706,121,13,0,0,2,0,0,0,0,0,1
2010,6,CARIRIACU,2958,519,0,47,0,282,32,0,0,30,1965,66,6,0,0,9,2,0,0,0,0,0
2010,6,CARIUS,2063,220,0,40,7,142,22,0,0,10,1403,204,3,0,0,2,9,0,0,0,1,0
2010,6,CARNAUBAL,1740,347,0,68,0,129,31,0,0,22,913,222,6,1,0,1,0,0,0,0,0,0
2010,6,CASCAVEL,8134,3983,0,379,0,485,200,0,9,37,2557,301,76,0,0,85,2,1,0,0,2,17
2010,6,CATARINA,1543,176,0,38,0,90,17,0,0,4,1162,51,1,0,0,1,0,0,0,0,0,3
2010,6,CATUNDA,940,147,0,27,0,55,14,0,1,10,616,64,2,0,0,1,0,0,0,0,0,3
2010,6,CAUCAIA,37939,18809,0,1104,88,1900,1083,4,23,134,13546,267,311,3,0,388,106,7,0,0,5,161
2010,6,CEDRO,4027,557,0,76,2,218,29,0,0,24,2784,297,22,0,0,11,3,0,0,0,1,3
2010,6,CHAVAL,914,148,0,25,0,78,15,0,0,5,488,145,4,0,0,5,0,0,0,0,0,1
2010,6,CHORO,1170,113,0,48,0,46,8,0,0,7,918,17,13,0,0,0,0,0,0,0,0,0
2010,6,CHOROZINHO,2740,1253,0,94,27,203,63,1,1,10,971,32,31,0,0,17,35,0,0,0,0,2
2010,6,COREAU,2409,366,0,78,3,138,27,0,0,11,1496,265,18,0,0,1,4,0,0,0,1,1
2010,6,CRATEUS,16221,3417,0,245,9,1174,157,1,5,38,9236,1812,60,0,0,30,11,1,0,0,2,23
2010,6,CRATO,25310,9085,0,745,60,1756,409,0,21,80,11512,1256,68,0,0,162,78,1,0,1,7,69
2010,6,CROATA,1951,272,0,40,0,180,12,0,0,10,1264,163,5,0,0,4,0,0,0,0,0,1
2010,6,CRUZ,3407,579,0,99,1,334,50,1,0,22,1900,358,34,0,0,7,2,0,0,0,0,20
2010,6,DEPUTADO IRAPUAN PINHEIRO,1298,132,0,23,0,57,3,0,0,4,1041,34,2,0,0,0,0,0,0,0,1,1
2010,6,ERERE,368,40,0,1,0,20,1,0,0,1,294,10,0,0,0,1,0,0,0,0,0,0
2010,6,EUSEBIO,9648,4223,0,833,184,949,329,1,4,34,2458,52,43,1,0,140,263,0,0,5,1,128
2010,6,FARIAS BRITO,2138,290,0,68,1,160,30,0,0,31,1479,64,12,0,0,1,0,0,0,0,0,2
2010,6,FORQUILHA,3170,549,0,83,3,91,21,0,0,25,2149,223,20,0,0,4,2,0,0,0,0,0
2010,6,FORTALEZA,675724,409494,0,18221,2707,44322,22269,130,474,2551,141108,4178,5514,60,0,10714,4062,249,0,114,108,9449
2010,6,FORTIM,1325,597,0,26,1,138,46,0,2,24,373,91,9,0,0,16,2,0,0,0,0,0
2010,6,FRECHEIRINHA,2141,306,0,70,1,80,16,0,0,13,1344,282,15,0,0,10,2,0,0,0,0,2
2010,6,GENERAL SAMPAIO,574,95,0,29,0,28,8,0,0,1,393,16,3,0,0,0,0,0,0,0,0,1
2010,6,GRACA,1634,120,0,20,0,68,17,0,0,5,1230,166,7,0,0,0,0,0,0,0,0,1
2010,6,GRANJA,3792,498,0,148,2,484,65,0,1,27,2201,340,11,0,0,9,3,0,0,0,1,2
2010,6,GRANJEIRO,213,46,0,10,0,22,1,0,0,1,129,4,0,0,0,0,0,0,0,0,0,0
2010,6,GROAIRAS,2389,254,0,44,0,67,4,0,0,22,1757,229,12,0,0,0,0,0,0,0,0,0
2010,6,GUAIUBA,1576,540,0,56,0,70,38,0,1,25,813,18,7,1,0,6,0,0,0,0,0,1
2010,6,GUARACIABA DO NORTE,7349,1529,0,311,4,630,61,0,0,7,3876,873,14,0,0,28,5,0,0,0,1,10
2010,6,GUARAMIRANGA,759,176,0,26,0,37,10,0,0,1,492,10,4,0,0,2,0,0,0,0,0,1
2010,6,HIDROLANDIA,2595,322,0,108,0,152,16,0,0,14,1633,334,8,0,0,5,0,0,0,0,0,3
2010,6,HORIZONTE,8199,2882,0,302,8,378,218,2,2,58,3900,275,56,0,0,42,11,0,0,4,1,60
2010,6,IBARETAMA,1237,240,0,46,1,44,18,0,0,9,842,17,16,1,0,3,0,0,0,0,0,0
2010,6,IBIAPINA,3064,664,0,104,0,193,36,0,0,21,1722,296,14,0,0,10,1,0,0,0,1,2
2010,6,IBICUITINGA,1070,213,0,54,3,49,7,0,0,3,700,24,8,0,0,1,7,0,0,0,1,0
2010,6,ICAPUI,2930,437,0,52,0,116,30,1,2,18,1866,363,35,0,0,8,0,0,0,0,0,2
2010,6,ICO,10509,1870,0,253,18,559,68,0,12,49,6570,1013,42,0,0,27,18,0,0,0,0,10
2010,6,IGUATU,24521,5354,0,827,26,1371,346,1,128,50,13348,2791,85,1,0,99,37,2,0,0,9,46
2010,6,INDEPENDENCIA,5543,723,0,171,12,369,29,0,0,4,3741,452,14,1,0,9,15,0,0,0,0,3
2010,6,IPAPORANGA,1824,169,0,19,0,134,7,0,2,3,1386,103,1,0,0,0,0,0,0,0,0,0
2010,6,IPAUMIRIM,5984,2435,0,167,7,799,161,0,0,46,2120,175,29,0,0,36,5,0,0,0,0,4
2010,6,IPU,7735,1364,0,245,3,589,83,0,1,21,4003,1343,24,0,0,32,9,0,0,0,1,17
2010,6,IPUEIRAS,5087,671,0,53,0,499,44,0,2,13,3390,393,4,0,0,9,0,0,0,0,1,8
2010,6,IRACEMA,2739,429,0,49,1,148,24,0,0,6,1938,128,9,0,0,5,1,0,0,0,0,1
2010,6,IRAUCUBA,1814,345,0,81,0,118,24,0,0,13,1092,127,12,0,0,1,0,0,0,0,0,1
2010,6,ITAICABA,1331,256,0,27,0,55,19,0,2,4,858,94,7,0,0,9,0,0,0,0,0,0
2010,6,ITAITINGA,4003,1472,0,249,42,170,109,0,3,50,1751,66,16,0,0,24,39,1,0,1,1,9
2010,6,ITAPAGE,6976,1572,0,224,6,413,53,1,1,25,4036,568,18,0,0,37,5,2,0,0,1,14
2010,6,ITAPIPOCA,16563,2977,0,573,15,1149,142,2,23,21,10017,1483,33,0,0,66,13,4,0,0,3,42
2010,6,ITAPIUNA,1756,364,0,54,0,98,13,0,0,6,1166,40,12,0,0,3,0,0,0,0,0,0
2010,6,ITAREMA,3556,579,0,99,0,426,44,0,0,9,2091,272,24,0,0,5,0,0,0,0,0,7
2010,6,ITATIRA,1737,328,0,88,0,95,13,0,0,4,1149,54,4,0,0,1,0,0,0,0,0,1
2010,6,JAGUARETAMA,2603,354,0,72,0,177,19,0,0,3,1825,141,7,0,0,3,0,0,0,0,0,2
2010,6,JAGUARIBARA,1877,266,0,62,0,122,25,0,0,10,1212,166,8,0,0,4,1,0,0,0,1,0
2010,6,JAGUARIBE,6760,1159,0,286,13,470,54,0,0,17,4296,375,18,0,0,43,18,0,0,0,0,11
2010,6,JAGUARUANA,5649,848,0,191,5,192,68,0,6,10,3790,500,6,0,0,20,6,0,0,0,2,5
2010,6,JARDIM,3355,606,0,62,8,417,33,0,2,50,2009,138,5,0,0,16,6,0,0,0,1,2
2010,6,JATI,704,257,0,21,0,72,8,0,0,13,307,24,1,0,0,1,0,0,0,0,0,0
